localisation,name,prix,image_link-src
Plateau,Gilera piaggio stalker 50,350.000  FCFA,media/annonces/pics/d21019275a66badba841be57ea1c4297.jpg
Plateau,T-max,1.700.000  FCFA,media/annonces/pics/78b7dd4158bd818b569ec884c624ade2.jpg
Plateau,Honda sh,1.200.000  FCFA,media/annonces/pics/6f3687b2965ffde414a321f13dbd7537.jpg
Plateau,Honda hornet 600,1.200.000  FCFA,media/annonces/pics/6f9a2918bfdb5e060105060b6f2026ba.jpg
Plateau,Tmax 530,2.300.000  FCFA,media/annonces/pics/940f418806fbd25c6f871ba3b36887f1.jpg
Plateau,Vespa 250,550.000  FCFA,media/annonces/pics/a8b8f7d93d2b0a32eed02e11efd3bb71.jpg
Plateau,Nexus m-35,750.000  FCFA,media/annonces/pics/71026334934e23ad867113c1dc35ca15.jpg
Plateau,Kymko 4 temps 125,140.000  FCFA,media/annonces/pics/93a04ba02fde08d07eacad9a8fa3664e.jpg
Plateau,Scooter agility,255.000  FCFA,media/annonces/pics/31b95ae0f60850fd690b98dd47c13ccd.jpg
Plateau,Honda hornet 600,1.000.000  FCFA,media/annonces/pics/534b67de05771d7f50f730b269ae1e0f.jpg
Plateau,Tmax 500,1.650.000  FCFA,media/annonces/pics/7793c38cf9962a54a16a72257c89840a.jpg
Plateau,Yamaha  Yzf 450,4.000.000  FCFA,media/annonces/pics/1e61fbab98fe97e56b63c87d0e923b38.jpg
Plateau,Honda transalp 700,2.000.000  FCFA,media/annonces/pics/0f5d602de76d89d2db55e555f94192ac.jpg
Plateau,Vend hoverboard led venant des USA,100.000  FCFA,media/annonces/pics/7c9b21df1416530386abf290c945ea98.png
Plateau,Sh 125 injection,"",media/annonces/pics/3f2353e92c3e1d282dea68b6bbdb2b74.jpeg
Plateau,SUPER MOTOS,1.250.000  FCFA,media/annonces/pics/eb56022d6a8013cae64a5150a0b9c3bf.jpg
Plateau,TMAX 530 DX,4.500.000  FCFA,media/annonces/pics/ea5badd663c7384eb8474729a16640a2.jpg
Plateau,Liberty 4temps50,700.000  FCFA,media/annonces/pics/64a126180efdaee98e3edc44042c2018.jpg
Plateau,Scooter Tmax,2.000.000  FCFA,media/annonces/pics/d05242e938425fe9002a6decdd1126fa.jpg
Plateau,Xc 300 versity,550.000  FCFA,media/annonces/pics/e31e82b3e3e820c8e6d18f8b9c5016d0.jpg
Plateau,Scooter  Typhon,"",media/annonces/pics/55f695478d927e3399db181aa75a59d3.jpg
Plateau,T-max 530 iron,4.000.000  FCFA,media/annonces/pics/ccd4ecb22b3fb8b33313220e22078a4b.jpg
Plateau,Honda sh 125,975.000  FCFA,media/annonces/pics/a6f26f0bf851b367f6d7b331099614c9.jpg
Plateau,Scooter honda arobase,250.000  FCFA,media/annonces/pics/37fd3ad1f88e4d4a401ccec3baed1fb7.jpg
Plateau,Typhoon,220.000  FCFA,media/annonces/pics/a32417e4ab620ff7258d962947c31aec.jpg
Plateau,Tmax 500 injection en parfait état,1.200.000  FCFA,media/annonces/pics/3a31d94713e909340dff48cfccf10360.jpg
Plateau,Scooter majesty,500.000  FCFA,media/annonces/pics/b9ca13aaf98409d8ca63422c9031aecf.jpg
Plateau,Scooter,420.000  FCFA,media/annonces/pics/fb9437845d1d47458b27080e799c51c2.jpg
Plateau,Motocyclettes et tricycles,350.000  FCFA,media/annonces/pics/5b5212ae986193b7588676e144165006.jpg
Plateau,Moto  Xc 300,700.000  FCFA,media/annonces/pics/37cb84ea3e4c6ea71cc403457f5fe559.jpg
Plateau,Moto enduro bmw,2.000.000  FCFA,media/annonces/pics/f047d366eccecc75264707856bf1c41f.jpg
Plateau,Moto djakarta,250.000  FCFA,media/annonces/pics/8f4bfb0e6da657d81393b7db56f790be.jpg
Plateau,Yamaha MT 07,3.800.000  FCFA,media/annonces/pics/1592e23f45fd8bac0d5329265a49f43b.jpg
Plateau,Moto zip piaggio,200.000  FCFA,media/annonces/pics/4189bc89fdb8b7c50a516e350a44ab7b.jpg
Plateau,Moto apache,400.000  FCFA,media/annonces/pics/9e42d1d896c5933244a1b2d07e28c70c.jpg
Plateau,BMW gs 1200,3.500.000  FCFA,media/annonces/pics/12e95530b56af38518e64ee07d771534.jpg
Plateau,Moto bmw gs 1200,4.250.000  FCFA,media/annonces/pics/9a972f46c814e79972f834879a768275.jpg
Plateau,Tmax 530,1.400.000  FCFA,media/annonces/pics/885768015c7fa833af629015df2ae187.jpg
Plateau,Liberty injection,325.000  FCFA,media/annonces/pics/80c4464529e043f8003e1ceeb35c051b.jpg
Plateau,Moto scooter,500.000  FCFA,media/annonces/pics/3c669aef26a7bb4b2dc043e147ec82f0.jpg
