Détails,Prix,Localisation,Image URL
Huawei Mate X6 512GB neuf,1300000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/0c1ee09b7444410e86f484334f542410.jpeg
iPhone 12 Pro Max 128gb,200000,Yoff,https://dakarvente.com/media/annonces/pics/thumbs/e1656fde654584337fac1c450d470900.jpeg
Samsung galaxie A35 5g 256 GIGA copie conforme,42000,Grand Yoff,https://dakarvente.com/media/annonces/pics/thumbs/1eac1b1647b9ce953acafc7d753219a3.jpeg
Tecno spark30c 128 GIGA copie conforme USA,42000,Grand Yoff,https://dakarvente.com/media/annonces/pics/thumbs/feee74a99ab33e03e7601c1c4b64c141.jpeg
Samsung galaxie A55 256 giga copie conforme,42000,Grand Yoff,https://dakarvente.com/media/annonces/pics/thumbs/13c6e6b83110c0899003de5b8dc10b20.jpeg
Samsung Galaxy A9 Pro 128 giga,115,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/533a911ab07b8865828be519a1a8b508.jpeg
Tecno pop9 128 giga copie conforme,42000,Grand Yoff,https://dakarvente.com/media/annonces/pics/thumbs/031d50b1d3ec3b48ba6a2d39db918031.jpeg
Tecno Phantom x2 pro 256 giga,42000,Grand Yoff,https://dakarvente.com/media/annonces/pics/thumbs/b21844d7cbdc4d9392fd58534f0c0b0b.jpeg
Iphone 11 pro 256 GO,185000,Saint Louis,https://dakarvente.com/media/annonces/pics/thumbs/2d7ceb82610268cc21f5aca4562f6969.jpg
Vraie faire l'argent rapide en multiplication d'argent,80000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/3ac0d06519e4fc1da7c330219f513792.jpg
iPhone XR 64Go,85000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/068089b112fadc959ae77c0534e4d35c.jpg
iPhone XR 64Go,85000,Mbao,https://dakarvente.com/media/annonces/pics/thumbs/9deb7f3b90db09b01cfba70e80a02b3b.jpg
Iphone 11 simple,125000,Hlm,https://dakarvente.com/media/annonces/pics/thumbs/ca47d1312f0d9d92bf28bfdd352aa132.jpg
Apple iPhone 15 pro max,700,Almadies,https://dakarvente.com/media/annonces/pics/thumbs/df47e45f9926dfbc48c15fca0f6eeeb1.jpg
Tecno camon,80000,Biagui,https://dakarvente.com/media/annonces/pics/thumbs/3caa1e3c7ac6a9695cf4c3439c147552.jpeg
sonnerie sans fil,55000,Sicap Liberté,https://dakarvente.com/media/annonces/pics/thumbs/778e48f15b6e9474418427a3b678e831.png
iphone 11 simple 64giga tres bon etat,115000,Dieuppeul,https://dakarvente.com/media/annonces/pics/thumbs/9df6ea045f4f517d33b397d914eb0039.jpeg
11 pro,1,Guédiawaye,https://dakarvente.com/media/annonces/pics/thumbs/50bd3a301d509ac11b1f9072680b439a.jpeg
12pro max 128 giga &256 giga,310,Guédiawaye,https://dakarvente.com/media/annonces/pics/thumbs/875c72428a3a43f3e68a9828b66f41fc.jpeg
Vente iPhone,120,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/34fe29d677466694436ea385550c5b6c.jpeg
Téléphone à vendre,140000,Plateau,https://dakarvente.com/media/annonces/pics/thumbs/d035c441db6ae90c685b664f9d444bf7.jpg
Vente de téléphone,201091,Plateau,https://dakarvente.com/media/annonces/pics/thumbs/40d5de944cb1f28208ce6fe9ecd512e9.jpg
Téléphone a vendre,800000,Plateau,https://dakarvente.com/media/annonces/pics/thumbs/2f6c69611daf4a9befc6c29691bff315.jpg
Promo Tabaski Samsung S22+ 128go,220000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/e1b58885a9d86286c04d35c3ef813935.jpeg
Samsung S21+ 5G 128go,185000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/21b2bac8c6a818f3833c3b2064e61475.jpeg
Promo Samsung S22 ULTRA 128Go,330000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/9560a12ac8269830faeb998ef35081c4.jpeg
samsung zflip 4 128go,225000,Médina,https://dakarvente.com/media/annonces/pics/thumbs/dbdd6ec3a8fda955714138f7a09181f6.jpeg
Vente iPhone,70000,Hann Maristes,https://dakarvente.com/media/annonces/pics/thumbs/dc7f102a2ac6084e8ed5a9888e3b8d4d.jpeg
