Détails,Prix,Localisation,Image URL
Location de voitures,35000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/ff5ce4b425495363c55806d835fa3781.jpg
LOCATION DE MINI BUS TOYOTA HIACE,90000,Grand Yoff,https://dakarvente.com/media/annonces/pics/thumbs/987ab4a68cdd23e5bdeb128608c146f2.jpg
Location voiture,25000,Mamelles,https://dakarvente.com/img/nophoto.png
Dodge caravan,35000,Ouakam,https://dakarvente.com/media/annonces/pics/thumbs/47280f1f88dc11111a63a2c9d3862656.png
Firdawsi automobile,250000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/c628fd7883fe1b29da430adee2420460.jpeg
Subaru forester,35000,Vdn,https://dakarvente.com/media/annonces/pics/thumbs/436cc0d9cd5a1856cd7a22ec4f4b1bf2.jpg
Location Ford Escape titanium 2014,35000,Keur Massar,https://dakarvente.com/media/annonces/pics/thumbs/cacfcbc8151ca716474488ff82265827.jpeg
BUS A LOUER AVEC CHAUFFEUR,60000,Pikine,https://dakarvente.com/media/annonces/pics/thumbs/90adfe208c44018834d19a706aecd06e.jpeg
Hyundai Sonata 2018,35000,Almadies,https://dakarvente.com/media/annonces/pics/thumbs/26bf9c46249f96a3e9ad2203939e47a7.jpeg
Firdawsi automobile,60000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/c9c7d6a74dd674d12bb776f2f641692d.jpeg
Firdawsi automobile,150000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/2f8e06beb1699c53e9f591812708b9a1.jpeg
Firdawsi automobile,120000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/910b73b992b92a1f3c755d75fc7c1963.jpeg
Firdawsi automobile,150000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/e069c09b23efec7d7fe77a575b9a73aa.jpeg
Firdawsi automobile,35000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/9ad358dcd221d78cb150aeeaf42f6734.jpeg
Firdawsi automobile,40000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/5542df542046cab1cf8b8a20756dc50e.jpeg
Firdawsi automobile,40000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/f003b04be0d12cd5e422bfb6c766b901.jpeg
Firdawsi automobile,40000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/c0945419d300e9f41551e5af71550437.jpeg
Firdawsi automobile,130000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/be101e42575f0e15aaf0654cc1d92e9c.jpeg
Firdawsi automobile,35000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/9b907405f05256a62eb0efb4f16f3433.jpeg
Firdawsi automobile,35000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/6ca3bc851b188566832b531b3796f624.jpeg
Firdawsi automobile,50000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/1f7133a2f52c97e17d8b2a023a69c55c.jpeg
Firdawsi automobile,40000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/a792e92396b86d735acff9f9475287d0.jpeg
Firdawsi automobile,250000,Dakar,https://dakarvente.com/media/annonces/pics/thumbs/164384831d6eb9ab835802808255f5a2.jpeg
