détails,prix,localisation,image URL
Ford Fusion SE 2016,3750000,Guédiawaye,media/annonces/pics/thumbs/712bea29dc9694825606086d8be9ae2d.jpg
Hyundai Grandeur 2015,4900000,Biscuiterie,media/annonces/pics/thumbs/0c70e9f0da3f55f1175038147f39825b.jpg
Bus Renault Elios,18500000,Dakar,media/annonces/pics/thumbs/b14119c7ff375ad58fcdbda5a75cca13.jpg
BMW E90 2010,2400000,Liberté 6,media/annonces/pics/thumbs/0fdc1e920029173c895d5fa3393bd92c.jpg
BMW X4 2016 VENANT,16800000,Dakar,media/annonces/pics/thumbs/9ab1efb68aae8c37a71d23420137ac1c.jpg
DES MOTO TRICYCLES A VENDRE DE MARQUE AGANAMA,1,Sacré coeur,media/annonces/pics/thumbs/5355943b6d677de0a6e986223c6e54d3.jpg
Nissan Rogue 2011,2450000,Parcelles assainies,media/annonces/pics/thumbs/297a889a2b9280a4d0c6c83f6f338a45.jpg
Kia Sorento 2014,3650000,Biscuiterie,media/annonces/pics/thumbs/0618c4b78208f4a0e46358e0a447a9db.jpg
PEUGEOT 308 à VENDRE,3200000,Dakar,media/annonces/pics/thumbs/291a7d62ba30d5d132e7f4b8d79003a9.jpg
Ford Escape 2012,3650000,Parcelles assainies,media/annonces/pics/thumbs/6880f3e9a89d5f04626004c5938948d6.jpg
Hyundai Sonata 2010,1850000,Parcelles assainies,media/annonces/pics/thumbs/650b380b87448d1a2d061fb769dce683.jpg
KIA SPORTAGE MANUEL A VENDRE,5500000,Dakar,media/annonces/pics/thumbs/8f298f2a53116b74cf9a1dad83303c89.jpg
Ford edge à vendre,4000000,Dakar,media/annonces/pics/thumbs/88870af59690a41f7f275939b565939b.jpg
VELO VTT  ORIGINAL,1,Dakar,media/annonces/pics/thumbs/2c808b3f863cb44b1530c2c5d6fa6e81.jpeg
Peugeot 308 2014,3600000,Castors,media/annonces/pics/thumbs/aa6f45f9fd50d0b2e8dffaa1994251a2.jpg
VELO VTT  ORIGINAL,1,Dakar,media/annonces/pics/thumbs/c471137d6ddcf60a27f67de68ab998fb.jpeg
Kia Optima 2014,4600000,Dakar,media/annonces/pics/thumbs/15d133a2356c206a5d938a3f094f693e.jpg
LOCATION DE BUS TOYOTA COASTER,120000,Sacré coeur,media/annonces/pics/thumbs/bb937fec0b7374b29eee7d49a0ed2f37.jpg
Dacia Lodgy 2014,3450000,Dakar,media/annonces/pics/thumbs/cdf964a3db06cafb8d02d2eb9618b6a0.jpg
VENTE DE TRACTEURS A BON PRIX 04,15000000,Sacré coeur,media/annonces/pics/thumbs/2c14681ec9eb78daee849be52e48615c.jpeg
MOTO TVS,650000,Keur massar,media/annonces/pics/thumbs/75362cfd8fda6386a03ad719cf74419a.jpg
Hyundai Tucson 2012,4400000,Grand yoff,media/annonces/pics/thumbs/9045d828e019fe1400eb2a874645c0f9.jpg
Kia Sportage 2012,3900000,Dakar,media/annonces/pics/thumbs/0d84c9e7c152c6a00e8f0c73914170db.jpg
Vente de véhicule,3500000,Ouakam,media/annonces/pics/thumbs/7c7647a7eff10bfcf08cad9b154bb13c.jpg
Moto Electrique Tres Econome,600000,Mermoz,media/annonces/pics/thumbs/5a37bc8fcd83eb990f842611b357d5ea.png
Mazda 2 2011,2900000,Fass,media/annonces/pics/thumbs/904d3f22450498dbfdab1e2b4b9c17b7.jpg
Ford fusion titanium 2018,6300000,Dakar,media/annonces/pics/thumbs/7925050d8eb1c64b48a0dd55637bedb0.jpg
VELO ENFANT,1,Dakar,media/annonces/pics/thumbs/c3b6ff0d62c47ba7eb7628f505f7f546.jpeg
Peugeot 308 2016,5400000,Liberté 6,media/annonces/pics/thumbs/8f1696ed3385d45f0f08a463803d64cf.jpg
Renault Laguna 2007,1600000,Castors,media/annonces/pics/thumbs/a5afb8a48e9775beaed25488d2abd174.jpg
Peutgeot 208 à vendre,5500000,Pikine,media/annonces/pics/thumbs/66915378a3730eb40baf438a43e1a8ee.jpg
Jeep à vendre,7000000,Pikine,media/annonces/pics/thumbs/d796b058ff9748f6905baed8f842652b.jpg
KTM Jakarta,420000,Keur massar,media/annonces/pics/thumbs/800ae533be4b3f1a2426f0b72aac851e.jpeg
Moto tricycle 5 roues,1850000,Keur massar,media/annonces/pics/thumbs/82bcfa64d1005a499f5b75757e523efe.jpeg
Vente Citroen C Elysée,3600000,Liberté 6,media/annonces/pics/thumbs/2d6df42b821677abde8990e5b472652e.jpg
