web-scraper-order,web-scraper-start-url,cars_link,cars_link-href,localisation,name,prix,image_link-src
"1738751500-1","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-98-gilera-piaggio-stalker-50.html","Plateau","Gilera piaggio stalker 50","350.000  FCFA","media/annonces/pics/d21019275a66badba841be57ea1c4297.jpg"
"1738751512-2","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-9-t-max.html","Plateau","T-max","1.700.000  FCFA","media/annonces/pics/78b7dd4158bd818b569ec884c624ade2.jpg"
"1738751533-3","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-194-honda-sh.html","Plateau","Honda sh","1.200.000  FCFA","media/annonces/pics/6f3687b2965ffde414a321f13dbd7537.jpg"
"1738751549-4","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-196-honda-hornet-600.html","Plateau","Honda hornet 600","1.200.000  FCFA","media/annonces/pics/6f9a2918bfdb5e060105060b6f2026ba.jpg"
"1738751562-5","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-195-tmax-530.html","Plateau","Tmax 530","2.300.000  FCFA","media/annonces/pics/940f418806fbd25c6f871ba3b36887f1.jpg"
"1738751575-6","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-256-vespa-250.html","Plateau","Vespa 250","550.000  FCFA","media/annonces/pics/a8b8f7d93d2b0a32eed02e11efd3bb71.jpg"
"1738751588-7","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-254-nexus-m-35.html","Plateau","Nexus m-35","750.000  FCFA","media/annonces/pics/71026334934e23ad867113c1dc35ca15.jpg"
"1738751601-8","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-252-kymko-4-temps-125.html","Plateau","Kymko 4 temps 125","140.000  FCFA","media/annonces/pics/93a04ba02fde08d07eacad9a8fa3664e.jpg"
"1738751613-9","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-253-scooter-agility.html","Plateau","Scooter agility","255.000  FCFA","media/annonces/pics/31b95ae0f60850fd690b98dd47c13ccd.jpg"
"1738751633-10","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-354-honda-hornet-600.html","Plateau","Honda hornet 600","1.000.000  FCFA","media/annonces/pics/534b67de05771d7f50f730b269ae1e0f.jpg"
"1738751649-11","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-355-tmax-500.html","Plateau","Tmax 500","1.650.000  FCFA","media/annonces/pics/7793c38cf9962a54a16a72257c89840a.jpg"
"1738751663-12","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-734-yamaha-yzf-450.html","Plateau","Yamaha  Yzf 450","4.000.000  FCFA","media/annonces/pics/1e61fbab98fe97e56b63c87d0e923b38.jpg"
"1738751677-13","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-730-honda-transalp-700.html","Plateau","Honda transalp 700","2.000.000  FCFA","media/annonces/pics/0f5d602de76d89d2db55e555f94192ac.jpg"
"1738751691-14","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-913-vend-hoverboard-led-venant-des-usa.html","Plateau","Vend hoverboard led venant des USA","100.000  FCFA","media/annonces/pics/7c9b21df1416530386abf290c945ea98.png"
"1738751720-15","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-981-sh-125-injection.html","Plateau","Sh 125 injection","","media/annonces/pics/3f2353e92c3e1d282dea68b6bbdb2b74.jpeg"
"1738751738-16","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1048-super-motos.html","Plateau","SUPER MOTOS","1.250.000  FCFA","media/annonces/pics/eb56022d6a8013cae64a5150a0b9c3bf.jpg"
"1738751754-17","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1217-tmax-530-dx.html","Plateau","TMAX 530 DX","4.500.000  FCFA","media/annonces/pics/ea5badd663c7384eb8474729a16640a2.jpg"
"1738751769-18","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1231-liberty-4temps50.html","Plateau","Liberty 4temps50","700.000  FCFA","media/annonces/pics/64a126180efdaee98e3edc44042c2018.jpg"
"1738751798-19","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1309-scooter-tmax.html","Plateau","Scooter Tmax","2.000.000  FCFA","media/annonces/pics/d05242e938425fe9002a6decdd1126fa.jpg"
"1738751828-20","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1308-xc-300-versity.html","Plateau","Xc 300 versity","550.000  FCFA","media/annonces/pics/e31e82b3e3e820c8e6d18f8b9c5016d0.jpg"
"1738751846-21","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1435-t-max-530-iron.html","Plateau","T-max 530 iron","4.000.000  FCFA","media/annonces/pics/ccd4ecb22b3fb8b33313220e22078a4b.jpg"
"1738751861-22","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1448-honda-sh-125.html","Plateau","Honda sh 125","975.000  FCFA","media/annonces/pics/a6f26f0bf851b367f6d7b331099614c9.jpg"
"1738751886-23","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1449-scooter-honda-arobase.html","Plateau","Scooter honda arobase","250.000  FCFA","media/annonces/pics/37fd3ad1f88e4d4a401ccec3baed1fb7.jpg"
"1738751911-24","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1521-typhoon.html","Plateau","Typhoon","220.000  FCFA","media/annonces/pics/a32417e4ab620ff7258d962947c31aec.jpg"
"1738751925-25","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1572-vends-tmax-500-injection-en-parfait-tat-contact-775152740.html","Plateau","Tmax 500 injection en parfait état","1.200.000  FCFA","media/annonces/pics/3a31d94713e909340dff48cfccf10360.jpg"
"1738751940-26","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1608-scooter-majesty.html","Plateau","Scooter majesty","500.000  FCFA","media/annonces/pics/b9ca13aaf98409d8ca63422c9031aecf.jpg"
"1738751953-27","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1661-scooter.html","Plateau","Scooter","420.000  FCFA","media/annonces/pics/fb9437845d1d47458b27080e799c51c2.jpg"
"1738751966-28","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1667-motocyclettes-et-tricycles.html","Plateau","Motocyclettes et tricycles","350.000  FCFA","media/annonces/pics/5b5212ae986193b7588676e144165006.jpg"
"1738751980-29","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1605-moto-xc-300.html","Plateau","Moto  Xc 300","700.000  FCFA","media/annonces/pics/37cb84ea3e4c6ea71cc403457f5fe559.jpg"
"1738751992-30","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","","https://www.dakarvente.com/annonce-1756-moto-enduro-bmw.html","Plateau","Moto enduro bmw","2.000.000  FCFA","media/annonces/pics/f047d366eccecc75264707856bf1c41f.jpg"
"1738752044-31","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-1781-yamaha-mt-07.html","Plateau","Yamaha MT 07","3.800.000  FCFA","media/annonces/pics/1592e23f45fd8bac0d5329265a49f43b.jpg"
"1738752060-32","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-1778-moto-zip-piaggio.html","Plateau","Moto zip piaggio","200.000  FCFA","media/annonces/pics/4189bc89fdb8b7c50a516e350a44ab7b.jpg"
"1738752079-33","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-1779-moto-apache.html","Plateau","Moto apache","400.000  FCFA","media/annonces/pics/9e42d1d896c5933244a1b2d07e28c70c.jpg"
"1738752093-34","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-1821-bmw-gs-1200.html","Plateau","BMW gs 1200","3.500.000  FCFA","media/annonces/pics/12e95530b56af38518e64ee07d771534.jpg"
"1738752109-35","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-1757-moto-bmw-gs-1200.html","Plateau","Moto bmw gs 1200","4.250.000  FCFA","media/annonces/pics/9a972f46c814e79972f834879a768275.jpg"
"1738752137-36","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-1841-tmax-530.html","Plateau","Tmax 530","1.400.000  FCFA","media/annonces/pics/885768015c7fa833af629015df2ae187.jpg"
"1738752177-37","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-1865-liberty-injection.html","Plateau","Liberty injection","325.000  FCFA","media/annonces/pics/80c4464529e043f8003e1ceeb35c051b.jpg"
"1738752197-38","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-1881-moto-scooter.html","Plateau","Moto scooter","500.000  FCFA","media/annonces/pics/3c669aef26a7bb4b2dc043e147ec82f0.jpg"
"1738752222-39","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-1975-kawasaki-z750.html","Plateau","Kawasaki z750","1.650.000  FCFA","media/annonces/pics/25840daef2521cb415e39667e1f0af39.jpg"
"1738752236-40","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-1995-honda-nc750x.html","Plateau","Honda nc750x","2.700.000  FCFA","media/annonces/pics/63b066899aa073a68914bba6510bd25d.jpg"
"1738752249-41","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2017-moto-sh.html","Plateau","Moto SH","1.100.000  FCFA","media/annonces/pics/f44b671943880a06c33be135510dce70.jpg"
"1738752272-42","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2041-tmax-500.html","Plateau","Tmax 500","850.000  FCFA","media/annonces/pics/d5bb0b40393c5d360e6490fe5706f515.jpg"
"1738752287-43","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2145-ktm-duke-125.html","Fann","Ktm duke 125","1.580.000  FCFA","media/annonces/pics/329e217f128e284cb3a3870cefd3585b.jpg"
"1738752306-44","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2040-honda-integra.html","Plateau","Honda integra","1.500.000  FCFA","media/annonces/pics/538e2044e5856b1db99b8c39ef5b8467.jpg"
"1738752324-45","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2176-yamaha-xcity-250.html","Plateau","Yamaha xcity 250","500.000  FCFA","media/annonces/pics/ab9b3f44b971dc254016655eebc73b9a.jpg"
"1738752339-46","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2170-honda-sh-300i.html","Plateau","Honda sh 300i","800.000  FCFA","media/annonces/pics/ea366d76313a32d692522b00655b878c.jpg"
"1738752350-47","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2192-scooter-suzuki.html","Plateau","Scooter suzuki","300.000  FCFA","media/annonces/pics/f2334c59b04bcf5e91bc06ce386de6b2.jpg"
"1738752362-48","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2190-suzuki-burgman-200-injection.html","Golf","Suzuki burgman 200 injection","550.000  FCFA","media/annonces/pics/e52140ef7f045d93a161351415fb28aa.jpg"
"1738752374-49","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2206-kawasaki-z800.html","Parcelles assainies","Kawasaki z800","2.000.000  FCFA","media/annonces/pics/a3e0021923a3d1d57ec389f1292146f0.jpg"
"1738752386-50","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2272-moto-tvs.html","Fass","Moto tvs","900.000  FCFA","media/annonces/pics/4ccc3b7e264fa17a267e04905c03b0d8.jpg"
"1738752398-51","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2318-malaguty-madison-150.html","Parcelles assainies","Malaguty madison 150","450.000  FCFA","media/annonces/pics/1283dbe95e48edc5d62e6c67245e3ae3.png"
"1738752415-52","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2327-scooter-beverly.html","Plateau","Scooter beverly","580.000  FCFA","media/annonces/pics/7de9e87668579135066bf91fd31d43b0.jpg"
"1738752429-53","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2437-kymco-agility-125.html","Parcelles assainies","Kymco agility 125","200.000  FCFA","media/annonces/pics/6ec12b987f5a1598ecfbeacab9aecba2.png"
"1738752442-54","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2438-yamaha-majesty-150.html","Dakar","Yamaha majesty 150","290.000  FCFA","media/annonces/pics/0d84bd7d2478aee270e5a02506351077.png"
"1738752454-55","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2479-bmw-gs1200.html","Hann Maristes","Bmw gs1200","3.100.000  FCFA","media/annonces/pics/fda291222122abcdd51b957d4bf16bb4.jpg"
"1738752468-56","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2456-yamaha-fz1.html","Nord Foire","Yamaha fz1","1.800.000  FCFA","media/annonces/pics/26d0d27d95308990411012bba3f8d1ab.jpg"
"1738752487-57","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2515-yamaha-tmax-530.html","Dakar","Yamaha tmax 530","1.900.000  FCFA","media/annonces/pics/c8b25c713f7bae3e46003297cf26302f.jpg"
"1738752504-58","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2525-majesty-skyliner-125.html","Parcelles assainies","Majesty Skyliner 125","300.000  FCFA","media/annonces/pics/545adf3f35d33d46bbee4d9df9cf717d.jpeg"
"1738752518-59","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2557-majesty-250.html","Dakar","Majesty 250","","media/annonces/pics/2bcb6acd967dd80a5ac28197c0a1b9ed.jpg"
"1738752536-60","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2583-yamaha-yz85-yz450.html","Hann Maristes","Yamaha yz85 / yz450","2.400.000  FCFA","media/annonces/pics/4297f0b2c16b681318e2c764e58573c6.jpg"
"1738752550-61","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","","https://www.dakarvente.com/annonce-2582-ktm-sx-85.html","Plateau","ktm sx 85","","media/annonces/pics/9f7a7dbf7daa1022154006f1475857ea.jpg"
