nom,prix,adresse,image
Lapins et lapereaux Angora Californien,Prix sur demande,"Medina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/729692_uploaded_image2_1562719155.08.png""); width: 457px;"
Poulet de chair,3 000 CFA,"Grand Yoff, Dakar, Sénégal",""
Lapins et lapereaux angora Californien,Prix sur demande,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/729715_uploaded_image2_1562719495.29.png""); width: 457px;"
Lapin géant,70 000 CFA,"Mbour, Sénégal","background-image: url(""https://images.coinafrique.com/761183_uploaded_image1_1563536095.25.png""); width: 369px;"
Lapins,40 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/774940_uploaded_image2_1563940703.64.png""); width: 596px;"
Poulet de chair,2 000 CFA,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/798654_uploaded_image3_1564576618.09.png""); width: 532px;"
Coqs Brahmane,5 000 CFA,"Thies Ouest, Thiès, Sénégal","background-image: url(""https://images.coinafrique.com/841858_uploaded_image2_1565838065.0.png""); width: 562px;"
Lapin Buchka,7 000 CFA,"Yoff, Dakar, Sénégal",""
Coq et poussins bleus,15 000 CFA,Sénégal,"background-image: url(""https://images.coinafrique.com/855420_uploaded_image1_1566249496.28.png""); width: 428px;"
Race bleu d' hollande,800 CFA,Sénégal,""
Femelle GDF 4 mois,70 000 CFA,"Médina, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/862099_uploaded_image1_1566396428.28.png""); width: 387px;"
Lapin nain noir adulte,10 000 CFA,"Médina, Dakar, Sénégal",""
Poulet de chair,2 500 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/885789_uploaded_image2_1566997710.36.png""); width: 389px;"
Coqs et poussins,800 CFA,Sénégal,"background-image: url(""https://images.coinafrique.com/886578_uploaded_image1_1567011857.49.png""); width: 461px;"
Poulet de chair,2 500 CFA,Sénégal,"background-image: url(""https://images.coinafrique.com/886584_uploaded_image2_1567011994.36.png""); width: 461px;"
Coq,30 000 CFA,"Dakar, Sénégal",""
Poussins bantam,15 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/899477_uploaded_image2_1567385912.28.png""); width: 610px;"
Barahmane,15 000 CFA,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/899487_uploaded_image1_1567386142.96.png""); width: 610px;"
Femelle Cochin bleu,30 000 CFA,"Dakar, Sénégal",""
Poulet de chair,Prix sur demande,"Pikine, Sénégal","background-image: url(""https://images.coinafrique.com/908730_uploaded_image1_1567603082.63.png""); width: 598px;"
Poussins Bantam,8 000 CFA,"Keur Massar, Sénégal",""
Bouldolande,7 000 CFA,"Dieuppeul-Derklé, Dakar, Sénégal",""
Poulet - Pigeon  - Lapin,Prix sur demande,Sénégal,"background-image: url(""https://images.coinafrique.com/944363_uploaded_image2_1568471599.61.png""); width: 432px;"
