web-scraper-order,web-scraper-start-url,cars_link,cars_link-href,localisation,name,prix,image_link-src
"1738742537-1","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=20","","https://www.dakarvente.com/annonce-40886-ford-edge-2020.html","Dakar","Ford Edge 2020","18.500.000  FCFA","media/annonces/pics/1e13f04833078a43387f276b4b3c874e.jpg"
"1738742549-2","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=20","","https://www.dakarvente.com/annonce-40926-hyundai-elantra-anne-2014.html","Dakar","Hyundai Elantra année 2014","4.300.000  FCFA","media/annonces/pics/a2d85a06068565d1e609c4f428fe6818.jpeg"
"1738742558-3","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=20","","https://www.dakarvente.com/annonce-40928-chrysler-200-anne-2015.html","Dakar","Chrysler 200 année 2015","5.400.000  FCFA","media/annonces/pics/23e9b17c5ef00c189c95b9959d9ea35f.jpeg"
"1738742598-4","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=20","","https://www.dakarvente.com/annonce-40930-renault-duster-anne-2014.html","Dakar","Renault Duster  année   2014","6.600.000  FCFA","media/annonces/pics/e1c9a476e50a12959f4d46be92418fc6.jpeg"
"1738742629-5","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=20","","https://www.dakarvente.com/annonce-40931-hyundai-tucson-anne-2016.html","Dakar","HYUNDAI TUCSON année 2016","11.600.000  FCFA","media/annonces/pics/6b8fd5d4f410c90b2d7e1770bcc586a1.jpeg"
"1738742650-6","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=20","","https://www.dakarvente.com/annonce-40932-ford-escape-carr-anne-2012.html","Dakar","FORD  ESCAPE CARRÉ année 2012","4.850.000  FCFA","media/annonces/pics/828e4ed4a728d51d5bb9e44b2fca7ed5.jpeg"
"1738742671-7","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=20","","https://www.dakarvente.com/annonce-40934-bus-renault-iliade-anne-2013.html","Dakar","Bus Renault Iliade année 2013","14.000.000  FCFA","media/annonces/pics/12878d1e2841c4350539e0d266a16d6b.jpeg"
"1738742681-8","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=20","","https://www.dakarvente.com/annonce-40935-location-ford-fusion-titanium-prix-35000f.html","Dakar","Location : Ford fusion titanium.                                   Prix :35000f","35.000  FCFA","media/annonces/pics/8aeae72c26bff204308ac49808170fbe.jpeg"
"1738742689-9","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=20","","https://www.dakarvente.com/annonce-40945-hyundai-elantra-en-location.html","Dakar","Hyundai Elantra en location","35.000  FCFA","media/annonces/pics/01837f06747de62adcfb22678a47f5b7.jpeg"
"1738742697-10","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=20","","https://www.dakarvente.com/annonce-40946-hyunda-grandeur.html","Dakar","HYundaï grandeur,","45.000  FCFA","media/annonces/pics/47e6b83a34afc113ba81bae4f467504e.jpeg"
"1738742711-11","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=20","","https://www.dakarvente.com/annonce-40948-bmw-en-location.html","Dakar","BMW en location","50.000  FCFA","media/annonces/pics/57a5454743c1ae9f8aa9294c419a4307.jpeg"
